Key,Summary,Project,Assignee,Description,Status,Issue Type,Created Date,Comments
SH-5746,Billing data to be repushed to MDMS,Success Hub,Naman,,Open,Service Request,2025-05-10T20:44:35.269+0530,
SH-5741,AMI 1&2 : Pilot project bill data is required from IP,Success Hub,Ansh Sharma,,Review,Service Request,2025-05-10T17:36:44.312+0530,"Ansh Sharma: PFA the IP data for these meters | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5732,Security compliance ALL projects ,Success Hub,Unassigned,"Issue: Due to the cyber attack situation, we need DCs availble on the basis of flag,  it should be configurable so to avoid initiation of any DC eithher from WEB or API.",In Progress,Incident,2025-05-10T13:39:02.326+0530,Ranjeet Singh: The DC command needs to be made available based on the flag (configurable) | Ranjeet Singh:                
SH-5725,Services are down in intellismart APDCL pkg-1 & 2,Success Hub,Ansh Sharma,We could not access the server (IP- 10.48.138.89) . due to this our below service is not working.,Close,Incident,2025-05-10T11:21:00.123+0530,"Ansh Sharma: The server on which the above-mentioned services were hosted went down and was inaccessible at intelli’s end.  | Ansh Sharma: The server is up now, and we have turned on all the services and the services behaviour is as expected now."
SH-5724,Missed Packet report is not updated,Success Hub,Lyba Noor,"Missed Packet report is not updated, there are many meters with 41 LS packets but missing packets are not marked in the missing LS Report.",Review,Issue,2025-05-10T10:21:37.240+0530,"Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5712,Push Service is impacted in AMI 12,Success Hub,Ansh Sharma,No description,Close,Incident,2025-05-09T21:27:33.114+0530,"Ansh Sharma: Upon investigation we found 2 major issues  Additionally, 2 other issues were also found along with that | Ansh Sharma: Hot fixes were implemented for these issues to prevent furthur data loss."
SH-5708,AMI 1&2 : Success RC Commands after verifying from IP LLFS status,Success Hub,Ansh Sharma," Can you please make the RC commands success whose last IP LLFS status is true, due to OTAP RC-DC service is getting impacted today. If IP is True after the RC command requested time, please change the status to success.",Open,Service Request,2025-05-09T18:01:27.493+0530,Satya Brat Nath:   PFA the list
SH-5705,Neighbour meter details required as requested by Intellismart,Success Hub,Naman,,Open,Service Request,2025-05-09T17:33:08.261+0530,
SH-5704,NEED TO REPUSH BILL DATA OF MAY 25 for the attached meters to MDM,Success Hub,Nikhil Kumar,"Hi Nikhil ,  Please repush the bill data of MAY 25 to MDM from DB for the attached list of meters. Thanks and Regards, PRAYAS PATRA  ",Review,Issue,2025-05-09T16:49:49.642+0530,"Nikhil Kumar: Repush the Billing data of given 25 meters to MDM.  ,    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5702,DP validation required,Success Hub,Naman,No description,Open,Issue,2025-05-09T15:09:34.941+0530,Biplob Chutia: PU2959675  PU10004731 PU10000508 PU10000400    Pl validate these meters as consumers balance not getting deduction. 
